Date,Close
2025-06-27,25637.8
2025-06-30,25517.05
2025-07-01,25541.8
2025-07-02,25453.4
2025-07-03,25405.3
2025-07-04,25461
2025-07-07,25461.3
2025-07-08,25522.5
2025-07-09,25476.1
2025-07-10,25355.25
2025-07-11,25149.85
2025-07-14,25082.3
2025-07-15,25195.8
2025-07-16,25212.05
2025-07-17,25111.45
2025-07-18,24968.4
2025-07-21,25090.7
2025-07-22,25060.9
2025-07-23,25219.9
2025-07-24,25062.1
2025-07-25,24837
2025-07-28,24680.9
2025-07-29,24821.1
2025-07-30,24855.05
2025-07-31,24768.35
2025-08-01,24565.35
2025-08-04,24722.75
2025-08-05,24649.55
2025-08-06,24574.2
2025-08-07,24596.15
2025-08-08,24363.3
2025-08-11,24585.05
2025-08-12,24487.4
2025-08-13,24619.35
2025-08-14,24631.3
2025-08-18,24876.95
2025-08-19,24980.65
2025-08-20,25050.55
2025-08-21,25083.75
2025-08-22,24870.1
2025-08-25,24967.75
2025-08-26,24712.05
2025-08-28,24500.9
2025-08-29,24426.85
2025-09-01,24625.05
2025-09-02,24579.6
2025-09-03,24715.05
2025-09-04,24734.3
2025-09-05,24741
2025-09-08,24773.15
2025-09-09,24868.6
2025-09-10,24973.1
2025-09-11,25005.5
2025-09-12,25114
2025-09-15,25069.2
2025-09-16,25239.1
2025-09-17,25330.25
2025-09-18,25423.6
2025-09-19,25327.05
2025-09-22,25202.35
2025-09-23,25169.5
2025-09-24,25056.9
2025-09-25,24890.85
2025-09-26,24654.7
2025-09-29,24634.9
2025-09-30,24611.1
2025-10-01,24836.3
2025-10-03,24894.25
2025-10-06,25077.65
2025-10-07,25108.3
2025-10-08,25046.15
2025-10-09,25181.8
2025-10-10,25285.35
2025-10-13,25227.35
2025-10-14,25145.5
2025-10-15,25323.55
2025-10-16,25585.3
2025-10-17,25709.85
2025-10-20,25843.15
2025-10-21,25868.6
2025-10-23,25891.4
2025-10-24,25795.15
2025-10-27,25966.05
2025-10-28,25936.2
2025-10-29,26053.9
2025-10-30,25877.85
2025-10-31,25722.1
2025-11-03,25763.35
2025-11-04,25597.65
2025-11-06,25509.7
2025-11-07,25492.3
2025-11-10,25574.35
2025-11-11,25694.95
2025-11-12,25875.8
2025-11-13,25879.15
2025-11-14,25910.05
2025-11-17,26013.45
2025-11-18,25910.05
2025-11-19,26052.65
2025-11-20,26192.15
2025-11-21,26068.15
2025-11-24,25959.5
2025-11-25,25884.8
2025-11-26,26205.3
2025-11-27,26215.55
2025-11-28,26202.95
2025-12-01,26175.75
2025-12-02,26032.2
2025-12-03,25986
2025-12-04,26033.75
2025-12-05,26186.45
2025-12-08,25960.55
2025-12-09,25839.65
2025-12-10,25758
2025-12-11,25898.55
2025-12-12,26046.95
2025-12-15,26027.3
2025-12-16,25860.1
2025-12-17,25818.55
2025-12-18,25815.55
2025-12-19,25966.4
2025-12-22,26172.4
2025-12-23,26177.15
2025-12-24,26142.1
2025-12-26,26042.3
2025-12-29,25942.1
2025-12-30,25938.85
2025-12-31,26129.6
